source	chrom	read_name	start	end	strand	exons
rustle	chr_test	uniq_A1_4	998	4501	-1	998-1200,2001-2300,3001-3150,4001-4501
rustle	chr_test	uniq_A1_8	998	4499	-1	998-1200,2001-2300,3001-3150,4001-4499
rustle	chr_test	uniq_A1_16	998	4499	-1	998-1200,2001-2300,3001-3150,4001-4499
rustle	chr_test	uniq_A1_25	998	4497	-1	998-1200,2001-2300,3001-3150,4001-4497
rustle	chr_test	uniq_A2_16	998	4498	-1	998-1200,2001-2300,4001-4498
rustle	chr_test	uniq_A1_7	999	4501	-1	999-1200,2001-2300,3001-3150,4001-4501
rustle	chr_test	uniq_A1_15	999	4499	-1	999-1200,2001-2300,3001-3150,4001-4499
rustle	chr_test	uniq_A1_28	999	4502	-1	999-1200,2001-2300,3001-3150,4001-4502
rustle	chr_test	uniq_A2_1	999	4500	-1	999-1200,2001-2300,4001-4500
rustle	chr_test	uniq_A2_9	999	4503	-1	999-1200,2001-2300,4001-4503
rustle	chr_test	uniq_A1_13	1000	4503	-1	1000-1200,2001-2300,3001-3150,4001-4503
rustle	chr_test	uniq_A1_14	1000	4497	-1	1000-1200,2001-2300,3001-3150,4001-4497
rustle	chr_test	uniq_A2_12	1000	4502	-1	1000-1200,2001-2300,4001-4502
rustle	chr_test	uniq_A2_14	1000	4503	-1	1000-1200,2001-2300,4001-4503
rustle	chr_test	uniq_A2_17	1000	4502	-1	1000-1200,2001-2300,4001-4502
rustle	chr_test	uniq_A2_18	1000	4498	-1	1000-1200,2001-2300,4001-4498
rustle	chr_test	multi_0	1000	4498	-1	1000-1200,2001-2300,3001-3150,4001-4498
rustle	chr_test	uniq_A1_1	1001	4501	-1	1001-1200,2001-2300,3001-3150,4001-4501
rustle	chr_test	uniq_A1_11	1001	4502	-1	1001-1200,2001-2300,3001-3150,4001-4502
rustle	chr_test	uniq_A1_18	1001	4498	-1	1001-1200,2001-2300,3001-3150,4001-4498
rustle	chr_test	uniq_A1_19	1001	4501	-1	1001-1200,2001-2300,3001-3150,4001-4501
rustle	chr_test	uniq_A1_24	1001	4500	-1	1001-1200,2001-2300,3001-3150,4001-4500
rustle	chr_test	uniq_A2_3	1001	4497	-1	1001-1200,2001-2300,4001-4497
rustle	chr_test	uniq_A2_19	1001	4501	-1	1001-1200,2001-2300,4001-4501
rustle	chr_test	multi_1	1001	4498	-1	1001-1200,2001-2300,3001-3150,4001-4498
rustle	chr_test	multi_3	1001	4501	-1	1001-1200,2001-2300,3001-3150,4001-4501
rustle	chr_test	uniq_A1_3	1002	4501	-1	1002-1200,2001-2300,3001-3150,4001-4501
rustle	chr_test	uniq_A1_6	1002	4503	-1	1002-1200,2001-2300,3001-3150,4001-4503
rustle	chr_test	uniq_A1_10	1002	4500	-1	1002-1200,2001-2300,3001-3150,4001-4500
rustle	chr_test	uniq_A1_17	1002	4503	-1	1002-1200,2001-2300,3001-3150,4001-4503
rustle	chr_test	uniq_A1_20	1002	4497	-1	1002-1200,2001-2300,3001-3150,4001-4497
rustle	chr_test	uniq_A1_21	1002	4501	-1	1002-1200,2001-2300,3001-3150,4001-4501
rustle	chr_test	uniq_A2_2	1002	4503	-1	1002-1200,2001-2300,4001-4503
rustle	chr_test	uniq_A2_6	1002	4498	-1	1002-1200,2001-2300,4001-4498
rustle	chr_test	uniq_A2_8	1002	4503	-1	1002-1200,2001-2300,4001-4503
rustle	chr_test	uniq_A2_10	1002	4502	-1	1002-1200,2001-2300,4001-4502
rustle	chr_test	uniq_A2_11	1002	4500	-1	1002-1200,2001-2300,4001-4500
rustle	chr_test	uniq_A2_15	1002	4498	-1	1002-1200,2001-2300,4001-4498
rustle	chr_test	multi_2	1002	4501	-1	1002-1200,2001-2300,3001-3150,4001-4501
rustle	chr_test	multi_4	1002	4501	-1	1002-1200,2001-2300,3001-3150,4001-4501
rustle	chr_test	uniq_A1_0	1003	4497	-1	1003-1200,2001-2300,3001-3150,4001-4497
rustle	chr_test	uniq_A1_2	1003	4502	-1	1003-1200,2001-2300,3001-3150,4001-4502
rustle	chr_test	uniq_A1_5	1003	4499	-1	1003-1200,2001-2300,3001-3150,4001-4499
rustle	chr_test	uniq_A1_22	1003	4497	-1	1003-1200,2001-2300,3001-3150,4001-4497
rustle	chr_test	uniq_A2_5	1003	4497	-1	1003-1200,2001-2300,4001-4497
