fam_id	member
0	DN_NC_073227.2_211080863_4
0	DN_NC_073227.2_8155721_4
0	DN_NC_073229.2_195378107_3
0	DN_NC_073230.2_168783006_4
0	DN_NC_073231.2_150902261_3
0	DN_NC_073232.2_146269317_5
0	DN_NC_073232.2_8583099_4
0	DN_NC_073236.2_140400059_5
0	DN_NC_073237.2_118498911_4
0	DN_NC_073239.2_124648897_4
0	DN_NC_073240.2_103747497_4
0	DN_NC_073241.2_110003031_5
0	DN_NC_073242.2_121237165_4
0	DN_NC_073244.2_70818649_5
0	DN_NC_086017.1_211655827_5
0	DN_NC_086017.1_9337960_4
1	DN_NC_073236.2_32866582_11
1	DN_NC_073236.2_32935295_3
1	DN_NC_073236.2_32935299_2
1	DN_NC_073236.2_32985892_2
1	DN_NC_073236.2_32986425_2
1	DN_NC_073236.2_32986917_2
1	DN_NC_073236.2_32986956_2
1	DN_NC_073237.2_24384479_2
1	DN_NC_073237.2_24384787_2
1	DN_NC_073237.2_24387014_11
1	DN_NC_073237.2_29418618_13
1	DN_NC_073237.2_31481917_11
1	DN_NC_073237.2_93516915_6
1	DN_NC_073238.2_54832744_2
2	DN_NC_073227.2_210893336_9
2	DN_NC_073235.2_33703802_2
2	DN_NC_073235.2_34402342_7
2	DN_NC_073236.2_21829724_2
2	DN_NC_073236.2_26203134_8
2	DN_NC_073238.2_24693721_8
2	DN_NC_073239.2_44147073_8
2	DN_NC_073239.2_44758266_8
2	DN_NC_073240.2_14911190_8
2	DN_NC_073245.2_42779121_5
2	DN_NC_073246.2_2235416_3
2	DN_NC_073248.2_10847471_7
2	DN_NC_086018.1_1774757_3
3	DN_NC_073247.2_59696701_5
3	DN_NC_073247.2_59706220_5
3	DN_NC_073247.2_59715729_5
3	DN_NC_073247.2_59725264_5
3	DN_NC_073247.2_59744368_5
3	DN_NC_073247.2_59753367_5
3	DN_NC_073247.2_59772963_5
3	DN_NC_073247.2_59782481_5
3	DN_NC_073247.2_59792068_6
4	DN_NC_073248.2_15918163_7
4	DN_NC_073248.2_16416010_5
4	DN_NC_073248.2_19602755_10
4	DN_NC_073248.2_19625716_11
4	DN_NC_073248.2_19648671_11
4	DN_NC_073248.2_19671639_11
4	DN_NC_073248.2_19694607_11
4	DN_NC_073248.2_25704431_6
4	DN_NC_073248.2_25725363_11
5	DN_NC_073227.2_17445647_6
5	DN_NC_073231.2_11581641_7
5	DN_NC_073233.2_75718276_6
5	DN_NC_073242.2_8725127_13
5	DN_NC_073242.2_8737492_8
5	DN_NC_086017.1_136773097_2
5	DN_NC_086017.1_141278779_5
5	DN_NC_086017.1_85330170_7
6	DN_NC_073227.2_8705656_4
6	DN_NC_073227.2_9009655_3
6	DN_NC_073227.2_9009888_2
6	DN_NC_073227.2_9010062_2
6	DN_NC_073241.2_36126183_3
6	DN_NC_073241.2_36126198_2
6	DN_NC_073246.2_15789285_3
6	DN_NC_073246.2_15789320_2
7	DN_NC_073224.2_15670210_25
7	DN_NC_073224.2_15783681_8
7	DN_NC_073224.2_19027212_8
7	DN_NC_073224.2_19135994_8
7	DN_NC_073224.2_19235747_8
7	DN_NC_073224.2_19344252_8
7	DN_NC_073224.2_29070818_24
8	DN_NC_073230.2_112158616_4
