family_id	gene	n_soto_members	n_detected	sensitivity	n_discoveries	precision_strict	note
ID_222	AC243829.6	1	0	0%	1	0%	all discoveries validated real (0 phantom)
ID_260	AL513478.2	3	0	0%	3	0%	all discoveries validated real (0 phantom)
ID_313	CDH12P1	2	0	0%	1	0%	all discoveries validated real (0 phantom)
ID_402	NCF1B	3	0	0%	1	0%	all discoveries validated real (0 phantom)
ID_393	MST1L	2	2	100%	4	43%	all discoveries validated real (0 phantom)
ID_104	AL669942.1	3	3	100%	1	75%	all discoveries validated real (0 phantom)
ID_209	AC233699.1	3	3	100%	1	75%	all discoveries validated real (0 phantom)
ID_215	AC244669.2	7	5	71%	2	78%	all discoveries validated real (0 phantom)
ID_324	CSPG4P10	5	5	100%	2	78%	all discoveries validated real (0 phantom)
ID_481	UBE2Q2P6	5	4	80%	1	80%	all discoveries validated real (0 phantom)
ID_131	AMY2A	6	5	83%	2	80%	all discoveries validated real (0 phantom)
ID_68	DNM1P28	4	4	100%	1	80%	all discoveries validated real (0 phantom)
ID_116	GOLGA6L6	6	6	100%	2	83%	all discoveries validated real (0 phantom)
ID_35	AL669831.1	10	9	90%	3	85%	all discoveries validated real (0 phantom)
ID_78	GOLGA8A	5	4	80%	1	86%	all discoveries validated real (0 phantom)
ID_400	NOTCH2	6	6	100%	1	88%	all discoveries validated real (0 phantom)
ID_22	AC239859.4	6	6	100%	1	91%	all discoveries validated real (0 phantom)
ID_163	GUSBP1	6	6	100%	1	91%	all discoveries validated real (0 phantom)
ID_113	GOLGA8CP	16	16	100%	2	91%	all discoveries validated real (0 phantom)
ID_154	NPIPB2	14	14	100%	2	91%	all discoveries validated real (0 phantom)
ID_207	SPDYE1	17	17	100%	2	92%	all discoveries validated real (0 phantom)
ID_280	ANKRD20A3P	3	3	100%	1	93%	all discoveries validated real (0 phantom)
ID_8	PMS2P4	9	9	100%	1	93%	all discoveries validated real (0 phantom)
ID_26	AC006453.4	2	0	0%	0	100%	
ID_92	AC243829.7	2	0	0%	0	100%	
ID_127	TCAF2	3	0	0%	0	100%	
ID_146	AC233280.19	2	0	0%	0	100%	
ID_148	AC126603.1	2	0	0%	0	100%	
ID_167	CHEK2P2	3	0	0%	0	100%	
ID_175	TEKT4P2	2	0	0%	0	100%	
ID_213	AC246785.1	4	0	0%	0	100%	
ID_240	SYT15	3	0	0%	0	100%	
ID_251	ANKRD36B	2	0	0%	0	100%	
ID_302	BOLA2B	1	0	0%	0	100%	
ID_334	DEFB104B	1	0	0%	0	100%	
ID_348	DUX4L50	1	0	0%	0	100%	
ID_386	LIMS1	2	0	0%	0	100%	
ID_411	OR11H12	3	0	0%	0	100%	
ID_431	PPIAL4A	5	0	0%	0	100%	
ID_458	SPAG11A	2	0	0%	0	100%	
ID_226	H2BP1	5	1	20%	0	100%	
ID_261	CNTNAP3P5	5	1	20%	0	100%	
ID_338	DEFB108C	3	1	33%	0	100%	
ID_43	TRIM64DP	4	2	50%	0	100%	
ID_63	ANAPC1P1	8	4	50%	0	100%	
ID_407	NSUN5P2	4	2	50%	0	100%	
ID_14	AC005562.2	7	4	57%	0	100%	
ID_332	DDX11L2	6	4	67%	0	100%	
ID_12	POM121	4	3	75%	0	100%	
ID_147	AC125634.1	4	3	75%	0	100%	
ID_327	CTSLP3	4	3	75%	0	100%	
ID_65	FAR2P1	9	7	78%	0	100%	
ID_156	WHAMMP3	5	4	80%	0	100%	
ID_208	GTF2IP14	5	4	80%	0	100%	
ID_391	WASH2P	5	4	80%	0	100%	
ID_24	AC239859.5	3	3	100%	0	100%	
ID_49	AC009533.1	3	3	100%	0	100%	
ID_71	AC023310.1	5	5	100%	0	100%	
ID_88	GOLGA6L10	4	4	100%	0	100%	
ID_141	AC119751.3	1	1	100%	0	100%	
ID_142	CR381670.1	1	1	100%	0	100%	
ID_179	ULK4P3	3	3	100%	0	100%	
ID_182	FAM153B	4	4	100%	0	100%	
ID_188	HERC2P3	4	4	100%	0	100%	
ID_211	AC241377.2	4	4	100%	0	100%	
ID_212	AC244669.1	5	5	100%	0	100%	
ID_245	CNTNAP3	4	4	100%	0	100%	
ID_267	AL590399.2	1	1	100%	0	100%	
ID_283	BCRP7	5	5	100%	0	100%	
ID_300	BMS1P17	2	2	100%	0	100%	
ID_354	FAM72B	4	4	100%	0	100%	
ID_357	FCGR1B	3	3	100%	0	100%	
ID_359	FGF7P5	5	5	100%	0	100%	
ID_374	GTF2IRD2P1	3	3	100%	0	100%	
ID_395	RGPD1	6	6	100%	0	100%	
ID_399	NAIPP1	4	4	100%	0	100%	
ID_403	NF1P10	3	3	100%	0	100%	
ID_443	SHLD2P1	3	3	100%	0	100%	
ID_448	SEC22B	3	3	100%	0	100%	
ID_462	SRGAP2C	4	4	100%	0	100%	
ID_468	TBC1D3B	9	9	100%	0	100%	
ID_474	TP53TG3D	3	3	100%	0	100%	
ID_490	ZNF705G	3	3	100%	0	100%	
